HB010,HB020,HB030,HB050,HB060,HB100,HY010,HY020,HY022,HY023,HY025,HY030N,HY100N,HY145N,HY030G,HY040G,HY050G,HY060G,HY070G,HY080G,HY090G,HY100G,HY110G,HY120G,HY130G,HY140G,HS010,HS020,HS030,HS040,HS050,HS060,HS070,HS080,HS090,HS100,HS110,HS120,HS130,HS140,HS150,HS160,HS170,HS180,HS190,HH010,HH020,HH030,HH040,HH050,HH060,HH061,HH070,HH080,HH090,HX040,HX050,HX090,HX080,HX060,HX070,HX020,HX010,DB040,NR_ITW
2006,BE,20,4,2006,30,12819,12804,0,0,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,0,0,0,15,NA,2,NA,1,2,1,1,1,1,1,1,5,1250,1,NA,2,2,2,2,2,1,6,2,1,NA,750,371.14,1,1,1,1,NA,NA,NA,NA,NA,NA,BE10,BE10-3
2006,BE,26,4,2006,17,33,47,0,0,NA,NA,NA,NA,NA,0,0,0,0,0,33,NA,0,0,0,-15,2,2,NA,2,1,1,1,1,3,1,1,5,1600,3,NA,2,1,2,2,2,1,3,2,1,425,400,593,1,1,1,1,NA,NA,NA,NA,NA,NA,BE10,BE10-1
2006,BE,34,4,2006,16,23017,23006,0,0,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,0,0,0,11,2,2,2,2,1,1,1,1,1,1,1,6,2000,3,NA,2,2,2,2,2,1,6,2,1,NA,2000,652.83,1,1,1,1,NA,NA,NA,NA,NA,NA,BE10,BE10-3
2006,BE,40,3,2006,11,106504,81666,0,0,NA,NA,NA,NA,NA,0,0,81469,0,0,0,NA,0,0,0,24838,2,2,2,1,1,1,1,1,1,1,1,5,53000,3,NA,2,1,2,1,3,2,6,2,1,700,3250,294,1,1,1,1,NA,NA,NA,NA,NA,NA,BE10,BE10-2
2006,BE,46,4,2006,31,216,-898,0,0,NA,NA,NA,NA,NA,0,0,0,186,0,31,NA,0,0,1091,23,2,2,2,1,1,2,1,1,3,1,1,4,1250,3,NA,2,1,2,2,1,1,5,2,1,NA,800,652.83,1,1,1,1,NA,NA,NA,NA,NA,NA,BE10,BE10-3
2006,BE,50,3,2006,6,3656,3655,0,0,NA,NA,NA,NA,NA,0,0,0,0,0,351,NA,0,0,0,1,2,NA,2,1,2,2,1,1,1,1,2,5,5000,3,NA,2,2,2,2,2,1,4,2,1,NA,900,312.92,1,1,1,1,NA,NA,NA,NA,NA,NA,BE10,BE10-4
2006,BE,61,4,2006,43,331814,324332,0,0,NA,NA,NA,NA,NA,0,0,291249,0,0,0,NA,0,0,1273,6209,2,2,2,1,1,2,1,1,3,1,1,5,2000,2,1,2,2,1,2,1,1,6,2,2,390,600,776.32,1,1,1,1,NA,NA,NA,NA,NA,NA,BE10,BE10-4
2006,BE,68,3,2006,16,33903,34247,0,0,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,0,0,0,-345,2,2,NA,1,1,1,1,1,1,1,1,6,53000,1,NA,2,1,1,2,1,2,6,2,1,NA,NA,983.35,1,1,1,1,NA,NA,NA,NA,NA,NA,BE10,BE10-4
2006,BE,71,4,2006,6,11107,10657,0,0,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,0,0,109,340,2,2,NA,2,1,1,1,1,2,1,1,2,3000,3,NA,2,1,1,1,1,3,6,1,1,NA,870,961.03,1,1,1,1,NA,NA,NA,NA,NA,NA,BE10,BE10-2
2006,BE,73,4,2006,21,20316,19108,0,0,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,0,0,74,1134,2,2,NA,1,1,1,1,1,1,1,1,5,1800,3,NA,2,2,2,2,3,2,5,2,1,5600,2000,983.35,1,1,1,1,NA,NA,NA,NA,NA,NA,BE10,BE10-4
2006,BE,76,4,2006,26,24,16,0,0,NA,NA,NA,NA,NA,0,0,0,0,0,24,NA,0,0,0,8,2,2,NA,2,1,1,1,1,3,1,1,4,1200,3,NA,2,2,2,2,1,1,4,1,1,330,NA,164,1,1,1,1,NA,NA,NA,NA,NA,NA,BE10,BE10-3
2006,BE,81,4,2006,8,23015,17791,0,0,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,0,0,1051,4173,2,2,NA,1,1,1,1,1,2,1,1,3,2500,1,NA,2,2,2,2,3,2,5,2,1,NA,NA,295.33,1,1,1,1,NA,NA,NA,NA,NA,NA,BE10,BE10-2
2006,BE,106,4,2006,11,17970,17944,0,0,NA,NA,NA,NA,NA,0,0,0,0,6090,51,NA,0,0,0,26,2,2,NA,1,1,1,1,1,1,1,1,4,1500,3,NA,1,1,2,2,3,2,5,2,2,NA,620,784.87,1,1,1,1,NA,NA,NA,NA,NA,NA,BE10,BE10-4
